drinker,bar
"Aida Blackburn","Aldo Sohm Wine Bar"
"Aimee Hess",Donna
"Aimee Hess","The Wayland"
"Aimee Hurley","Gallow Green"
"Aimee Osborn","The Summit Bar"
"Aimee Osborn","Ty Bar"
"Aisha Cross","Ear Inn"
"Aisha Cross","Please Don't Tell"
"Aisha Cross","The Pony Bar"
"Aisha Little","Lee's Tavern"
"Aisha Little",PDT
"Aisha Little","Townhouse of New York"
"Aisha Odonnell","Clockwork Bar"
"Aisha Odonnell","Donovan's Pub"
"Akram Neal",PDT
"Akram Neal","Raines Law Room"
"Akram Neal","The Wayland"
"Alan Colon","ABC Beer Co."
"Alan Colon","The Pool Lounge"
"Alan Donovan","KGB Bar"
"Alan Donovan",Mayahuel
"Alan Donovan","Old Town Bar"
"Alana Alexander",7B
"Alana Alexander","Aldo Sohm Wine Bar"
"Alana Alexander","KGB Bar"
"Alana Richmond",Barcade
"Alana Richmond",PDT
"Alanna Richards","Ear Inn"
"Alanna Richards","Phoenix Bar"
"Alanna Richards","The Iron Horse Nyc"
"Alberta Cannon","Copper & Oak"
"Alberta Cannon","Gallow Green"
"Alberta Haney",Donna
"Alberta Wiggins","The Ginger Man"
"Alberta Wiggins","The Summit Bar"
"Alden Castro","Dive Bar"
"Alden Castro","Grand Banks"
"Alden Castro","The Iron Horse Nyc"
"Alden Castro","The Pool Lounge"
"Aldo Cameron",Barcade
"Aldo Cameron","Clover Club"
"Aldo Cameron","Raines Law Room"
"Aldo Farmer",Mona's
"Aldo Lopez","Aldo Sohm Wine Bar"
"Aldo Lopez",PDT
"Alec Alvarez","Alewife Queens"
"Alec Alvarez","Jimmy's corner"
"Alec Alvarez","Rainbow Room"
"Alec Alvarez","The Ginger Man"
"Alec Atkins","Bronx Alehouse"
"Alec Atkins","Until Tomorrow"
"Alec Henry","Bronx Alehouse"
"Alec Henry","The Dead Rabbit"
"Alec Henry","The Iron Horse Nyc"
"Alec Henry","Zinc Bar"
"Alec Lara",Nowhere
"Alec Lara","The Long Island Bar"
"Alec Stout","Dead Rabbit"
"Alec Stout","The Central Bar"
"Alejandra Mccoy","Employees Only"
"Alejandro Casey","Ty Bar"
"Aleksander Travers",7B
"Aleksander Travers",Donna
"Aleksander Travers","The Wayland"
"Alex Hancock","Bar Goto"
"Alex Hancock","Bar Nine"
"Alex Hancock","Blind Tiger Ale House"
"Alex Huffman",Mayahuel
"Alexandra Marsh","Lucy's a.k.a. Blanche's Tavern"
"Alexandra Marsh","the Campbell"
"Alexandra Marsh","The Iron Horse Nyc"
"Alexis Cantu",7B
"Alexis Cantu","Bemelmans Bar"
"Alexis Cantu","Clover Club"
"Alexis Cantu","Townhouse of New York"
"Alexis Hamilton","KGB Bar"
"Alexis Morales",LENA
"Alexis Morales","Maison Premiere"
"Alfonso Bond",BlackTail
"Alfonso Bond","e's Bar"
"Alfonso Bond","Maison Premiere"
"Alfonso Branch","169 Bar"
"Alfonso Branch","Clover Club"
"Alfonso Owens",Mayahuel
"Alfonso Owens",Mona's
"Alfonso Sheppard","Connolly's Bar"
"Alfonso Sheppard","Dear Irving"
"Alfonzo David",Barcade
"Alfonzo David","Lee's Tavern"
"Alfonzo Sandoval","Lee's Tavern"
"Alfonzo Sandoval","Old Town Bar"
"Alfonzo Wade","Bar Nine"
"Alfonzo Wade","Little Branch"
"Alfred Cain","King Cole Bar"
"Alfred Cain","Zinc Bar"
"Alfreda Howe","Bar Sixtyfive"
"Alfreda Howe","The Counting Room"
"Alfreda Howe","The Up & Up"
"Alfreda Howe","Tonic Bar"
"Alfreda Paul",Mona's
"Alfreda Paul","Old Town Bar"
"Alfreda Paul","Pegu Club"
"Alfreda Russo",d.b.a.
"Alfreda Russo",Nowhere
"Alfreda Russo","Ty Bar"
"Alfreda York","Ghost Donkey"
"Alfreda York","Until Tomorrow"
"Alfredo Boyd","Bar Goto"
"Alfredo Mack","Death & Company"
"Alfredo Mack","Ear Inn"
"Alfredo Preston","Blue Bar"
"Alfredo Preston","Connolly's Bar"
"Ali Atkins",Mayahuel
"Ali Atkins",Mona's
"Ali Mcdaniel","Clover Club"
"Ali Mcdaniel","Lee's Tavern"
"Ali Mcdaniel",Mayahuel
"Ali Tanner","King Cole Bar"
"Alice Livingston","Gallow Green"
"Alice Livingston","Rose Bar"
"Alice Livingston","The Counting Room"
"Alice Ramirez",Apotheke
"Alice Ramirez","Bar Sixtyfive"
"Alice Ramirez",Subject
"Alicia Shaw",Attaboy
"Alicia Shaw",Bua
"Alicia Shaw","McSorley's Old Ale House"
"Alicia Shaw","The Central Bar"
"Aline Barry",Rudy's
"Aline Collins","Sugar East"
"Aline Collins","The Central Bar"
"Aline Cowan","Bar Goto"
"Aline Cowan","Bar Nine"
"Aline Cowan","Employees Only"
"Alisha Fischer","Aldo Sohm Wine Bar"
"Alisha Fischer","Connolly's Bar"
"Alisha Fischer","KGB Bar"
"Alisha Larson",Mona's
"Alisha Larson","Old Town Bar"
"Alisha Odom",Mona's
"Alisha Odom","Old Town Bar"
"Alisha Odom","Raines Law Room"
"Alison Forbes","Clover Club"
"Alison Forbes","Raines Law Room"
"Alissa Boone",Barcade
"Alissa Boone",Donna
"Alissa Boone",Killmeyer's
"Alissa Gentry","The Honeywell"
"Alissa Gentry","The Up & Up"
"Alissa Gordon","Rainbow Room"
"Alissa Gordon","The Ship"
"Alissa Howell","Bar Nine"
"Allie Carpenter","Dead Rabbit"
"Allie Carpenter","Donovan's Pub"
"Allie Carpenter",Primo's
"Allison Poole","Blue Bar"
"Allison Poole","Townhouse of New York"
"Allyson Haynes","Dear Irving"
"Allyson Rich","Dutch Kills"
"Allyson Rich","e's Bar"
"Allyson Rich","Lucy's a.k.a. Blanche's Tavern"
"Allyson Stuart","Broken Shaker"
"Allyson Stuart","Slowly Shirley"
"Alma Griffin",Donna
"Alma Griffin",Mayahuel
"Alma Griffin","Old Town Bar"
"Alma Montgomery","ABC Beer Co."
"Alma Montgomery","Zinc Bar"
"Alma Yang","Raines Law Room"
"Alonso Preston",Donna
"Alonso Preston",Killmeyer's
"Alonzo Hopkins","Aldo Sohm Wine Bar"
"Alonzo Hopkins",Barcade
"Alonzo Hopkins","Townhouse of New York"
"Alonzo Kramer","Connolly's Bar"
"Alonzo Kramer",Mayahuel
"Alonzo Navarro","ABC Beer Co."
"Alonzo Navarro","Until Tomorrow"
"Alphonse Booker","Blue Bar"
"Alphonse Booker","Pegu Club"
"Alphonse Pham","Aldo Sohm Wine Bar"
"Alphonse Pham","Bemelmans Bar"
"Alphonse Pham","Connolly's Bar"
"Alphonso Li",Mayahuel
"Althea Chan","Keats Bar"
"Althea Chan",Nitecap
"Althea Chan","Rose Bar"
"Althea Valdez",Nitecap
"Alton Baxter","The Pony Bar"
"Alton Baxter",Torst
"Alton Dyer",Nitecap
"Alton Hawkins","Dear Irving"
"Alton Hawkins",PDT
"Alva Page",Barcade
"Alva Page","KGB Bar"
"Alvaro Mcfarland","Connolly's Bar"
"Alvaro Mcfarland","Lee's Tavern"
"Alvaro Mcfarland",PDT
"Alvin Dodson",7B
"Alvin Dodson",Killmeyer's
"Alyce Good","Blind Tiger Ale House"
"Alyce Good","Little Branch"
"Alyce Good",Nitecap
"Alyce Maldonado","KGB Bar"
"Alyce Maldonado","Spring Lounge"
"Alyce Meyer","Rose Bar"
"Alyce Meyer",Subject
"Alyson Clark","Bemelmans Bar"
"Alyson Clark",Donna
"Alyson Clark","KGB Bar"
"Alyson Clark","Raines Law Room"
"Alyson Glenn","Dutch Kills"
"Alyson Glenn","Phoenix Bar"
"Alyson Glenn","The Iron Horse Nyc"
"Alyson Lynn","Broken Shaker"
"Alyson Lynn","Orange Street"
"Alyson Zimmerman","Blind Tiger Ale House"
"Alyson Zimmerman","Little Branch"
"Alyson Zimmerman",Subject
"Alyssa English","Bohemian Hall & Beer Garden"
"Alyssa English","Grand Banks"
"Alyssa Estrada",Barcade
"Alyssa Estrada","Clover Club"
"Alyssa Estrada","The Wayland"
"Alyssa Estrada","Townhouse of New York"
"Alyssa Gonzales","Bohemian Hall & Beer Garden"
"Alyssa Gonzales","King Cole Bar"
"Amado Atkins","Bar Sixtyfive"
"Amado Kerr","Townhouse of New York"
"Amalia Bowers","Alewife Queens"
"Amalia Bowers","Jimmy's corner"
"Amalia Bowers","The Ginger Man"
"Amalia Bowers","The Summit Bar"
"Amalia Huffman","Ear Inn"
"Amalia Lindsey","Bar Nine"
"Amalia Peterson","Keats Bar"
"Amanda Kennedy","Blue Bar"
"Amanda Kennedy","KGB Bar"
"Amanda Kennedy","Pegu Club"
"Amanda Powers",Mayahuel
"Amber Hensley","The Iron Horse Nyc"
"Amber Hensley","Zinc Bar"
"Amber Hunter","Alewife Queens"
"Amber Hunter",Primo's
"Amber Hunter","The NoMad Bar"
"Amina Head",Rudy's
"Amos Gill",Mayahuel
"Amos Gill","Old Town Bar"
"Amos Gill","Raines Law Room"
"Amos Huynh","Blue Bar"
"Amos Torres","Grand Banks"
"Amos Torres","King Cole Bar"
"Amos Torres","Until Tomorrow"
"Amparo Velazquez","The Honeywell"
"Amy Cochran","Clockwork Bar"
"Amy Cochran","The 13th Step"
"Amy Cochran","Ty Bar"
"Amy Zavala","Clockwork Bar"
"Amy Zavala","Jimmy's corner"
"Amy Zavala",Nowhere
"Ana Gibbs","Connolly's Bar"
"Ana Vance","ABC Beer Co."
"Ana Vance","Dive Bar"
"Ana Vance","Pouring Ribbons"
"Anderson French","169 Bar"
"Anderson French","Connolly's Bar"
"Anderson French",Killmeyer's
"Anderson Sims","Bronx Alehouse"
"Anderson Sims","e's Bar"
"Andre Jordan","Phoenix Bar"
"Andre Jordan","the Campbell"
"Andre Jordan","The Dead Rabbit"
"Andre Moreno",PDT
"Andrea Douglas","Connolly's Bar"
"Andrea Hubbard","Aldo Sohm Wine Bar"
"Andrea Hubbard","Blue Bar"
"Andrea Hubbard","Pegu Club"
"Andrea Hubbard","The Wayland"
"Andres Carpenter","Aldo Sohm Wine Bar"
"Andres Carpenter",Mona's
"Andres Carpenter",PDT
"Andrew Short","e's Bar"
"Angela Conley","The NoMad Bar"
"Angela Conley","Ty Bar"
"Angela Rush",Donna
"Angelia May","Beauty Bar"
"Angelia May",Nowhere
"Angelia Raymond","Bar Goto"
"Angelia Raymond","Copper & Oak"
"Angelica Martinez","Lee's Tavern"
"Angelina Compton","Bemelmans Bar"
"Angelina Compton","Old Town Bar"
"Angelina Compton","Pegu Club"
"Angelina Compton","The Wayland"
"Angelina Henry","Bar Nine"
"Angelina Henry","Orange Street"
"Angelina Henry","Slowly Shirley"
"Angeline Mercado","Dead Rabbit"
"Angeline Noble",Julius'
"Angeline Noble",Leyenda
"Angeline Noble","The Counting Room"
"Angeline Noble","Tonic Bar"
"Angeline Oneill","169 Bar"
"Angeline Oneill",Killmeyer's
"Angeline Russell",7B
"Angeline Russell","Clover Club"
"Angelique Norman","Dear Irving"
"Angelique Norman","Pegu Club"
"Angelita Ortiz","Broken Shaker"
"Angelita Ortiz","Little Branch"
"Angelo Ball","Donovan's Pub"
"Angie Bell","Dive Bar"
"Angie Bell","Ear Inn"
"Angie Phillips","Rose Bar"
"Angus Wells","Bar Sixtyfive"
"Anibal Gibbs","Pegu Club"
"Anibal Gibbs","Townhouse of New York"
"Anibal Pearson",BlackTail
"Anibal Pearson","Dutch Kills"
"Anibal Pearson","Ghost Donkey"
"Anibal Pearson","The Pony Bar"
"Anja Squires","Bar Sixtyfive"
"Ann Chapman","The Counting Room"
"Ann Schwartz",PDT
"Anna Oneal","Phoenix Bar"
"Anna Yoder",Julius'
"Anna Yoder","The Up & Up"
"Annabell Davie",Barcade
"Annabell Davie","Clover Club"
"Annabell Davie","Raines Law Room"
"Anne Newman","Aldo Sohm Wine Bar"
"Anne Newman",Barcade
"Anne Taylor","Bar Nine"
"Anne Taylor",Subject
"Annette Colon",Mayahuel
"Annette Colon",Mona's
"Annette Combs","Blue Bar"
"Annette Combs",PDT
"Annette Kline",Nowhere
"Annette Kline","Ty Bar"
"Annie Holmes","Rose Bar"
"Annie Holmes",Subject
"Annie Holmes","The Up & Up"
"Annie Lloyd","Amor y Amargo"
"Annmarie Beck","Aldo Sohm Wine Bar"
"Annmarie Beck",Killmeyer's
"Annmarie Beck","Raines Law Room"
"Annmarie Butler","Little Branch"
"Annmarie Butler","Slowly Shirley"
"Annmarie Butler","The Up & Up"
"Annmarie Butler","Tonic Bar"
"Annmarie Washington","Death & Company"
"Annmarie Washington","Dutch Kills"
"Annmarie Washington","The Dead Rabbit"
"Anthony Gentry",Nitecap
"Anthony Richmond",Barcade
"Anthony Richmond","Dear Irving"
"Anthony Richmond","KGB Bar"
"Antione Cervantes","Pegu Club"
"Antione Haas",7B
"Antione Haas",Killmeyer's
"Antione Haas","The Wayland"
"Antione Holder","169 Bar"
"Antione Holder","Clover Club"
"Antione Holder",Mayahuel
"Antoine Marks","McSorley's Old Ale House"
"Antoine Marks",Primo's
"Antoinette Dyer","Spring Lounge"
"Antoinette Levine","Little Branch"
"Antoinette Levine","Orange Street"
"Anton Mullins",Boxer
"Anton Underwood","Blind Tiger Ale House"
"Antonia Turner","Bemelmans Bar"
"Antonia Turner","Raines Law Room"
"Antonia Turner","Spring Lounge"
"Antonio Novak",Attaboy
"Antonio Novak","Dead Rabbit"
"Antonio Novak",Primo's
"Antonio Novak","Rainbow Room"
"Antony Wilkerson",Donna
"Antony Wilkerson","Lee's Tavern"
"Antony Wilkerson",Mona's
"Antony Wilkerson","Raines Law Room"
"April Tanner","Keats Bar"
"April Wyatt","Pegu Club"
"April Wyatt","The Wayland"
"Araceli Arroyo",Apotheke
"Araceli Arroyo","The Up & Up"
"Araceli Gates",d.b.a.
"Araceli Gates","Dead Rabbit"
"Araceli Gates","Donovan's Pub"
"Araceli Gates","The Ginger Man"
"Araceli Zimmerman",Mona's
"Archie Bowman","Aldo Sohm Wine Bar"
"Archie Bowman","Bemelmans Bar"
"Archie Bowman","Pegu Club"
"Arden Oconnor","169 Bar"
"Arden Oconnor",Donna
"Arden Oconnor","KGB Bar"
"Arden Wheeler","Blind Tiger Ale House"
"Arden Wheeler",Subject
"Arden Wheeler","The Up & Up"
"Ariel Garcia","Please Don't Tell"
"Ariel Garcia","The Pony Bar"
"Ariel Garcia","Zinc Bar"
"Ariel Perez","Rainbow Room"
"Ariel Perez",Rudy's
"Ariel Perez","The Ship"
"Ariel Rogers","The Dead Rabbit"
"Arlen Garrison","Spring Lounge"
"Arlene Cantrell","Broken Shaker"
"Arlene Cantrell",Dante
"Arlene Cantrell","Rose Bar"
"Arlene Howell","Bar Goto"
"Arlene Howell",Boxer
"Arlene Roberson","Jimmy's corner"
"Arlene Roberson","The Central Bar"
"Arlene Roberson","Ty Bar"
"Arlie Hopkins",BlackTail
"Arlie Hopkins","Dutch Kills"
"Arlie Maddox",Mayahuel
"Arlie Maddox","Old Town Bar"
"Arlie Maddox","Spring Lounge"
"Arlie Proctor",Mayahuel
"Arline Lin","169 Bar"
"Arline Lin",Barcade
"Arline Livingston","Holiday Cocktail Lounge"
"Arline Livingston","The 13th Step"
"Arline Livingston","The Ship"
"Arline Singleton","Dead Rabbit"
"Arline Singleton","The Ship"
"Arline Singleton","Ty Bar"
"Armand Hicks","Angel's Share"
"Armand Hicks","Maison Premiere"
"Armand Hicks","Phoenix Bar"
"Armando Benitez","KGB Bar"
"Armando Parker","Amor y Amargo"
"Armando Parker","Phoenix Bar"
"Armando Parker","Until Tomorrow"
"Arnold Figueroa","Pegu Club"
"Arnold Figueroa","Townhouse of New York"
"Arnoldo Oconnell","Rainbow Room"
"Arnulfo Beasley","Blue Bar"
"Arnulfo Beasley","Raines Law Room"
"Arnulfo Beasley","The Wayland"
"Arnulfo Peters","Blue Bar"
"Arnulfo Peters","Townhouse of New York"
"Aron Meyers","Dear Irving"
"Arran Connolly","Maison Premiere"
"Arran Connolly","The Iron Horse Nyc"
"Arran Nichols","169 Bar"
"Arran Nichols",Barcade
"Arran Nichols","Pegu Club"
"Arran Nichols","Townhouse of New York"
"Arron Reynolds","Blue Bar"
"Arron Reynolds",Killmeyer's
"Arron Reynolds","Spring Lounge"
"Art Reynolds",7B
"Art Reynolds","Raines Law Room"
"Arthur Howard","Old Town Bar"
"Arthur Howard","Townhouse of New York"
"Arthur Lin",7B
"Arthur Lin",Killmeyer's
"Arthur Lin",Mayahuel
"Arthur Salazar","Employees Only"
"Arthur Salazar",Julius'
"Artur Major","169 Bar"
"Artur Major","Bemelmans Bar"
"Artur Major","Dear Irving"
"Artur Major","Spring Lounge"
"Arturo Gardner","Bemelmans Bar"
"Arturo Gardner","Clover Club"
"Arturo Gardner",PDT
"Arturo Grimes","Bar Goto"
"Arturo Grimes",Mace
"Asa Benitez","Angel's Share"
"Asa Benitez","Death & Company"
"Asa Benitez",LENA
"Asa Tapia",Barcade
"Ashanti Rawlings",Donna
"Ashlee Fitzpatrick",Mona's
"Ashlee Flowers","169 Bar"
"Ashlee Flowers","Blue Bar"
"Ashlee Lin","Bemelmans Bar"
"Ashlee Lin","Clover Club"
"Ashlee Lin","Dear Irving"
"Asmaa Mcmanus","Bar Sixtyfive"
"Asmaa Mcmanus","Broken Shaker"
"Asmaa Mcmanus","Little Branch"
"Aubrey Ibarra","Amor y Amargo"
"Aubrey Ibarra","Bronx Alehouse"
"Aubrey Ibarra","Pouring Ribbons"
"Aubrey Ibarra",Torst
"Aubrey Yates","Blue Bar"
"Aubrey Yates","Pegu Club"
"Aubrey Yates","Townhouse of New York"
"Audra Schneider","Phoenix Bar"
"Audra Valdez","Jimmy's corner"
"Audra Valdez","McSorley's Old Ale House"
"Audra Valdez","The Central Bar"
"Audrey Hurst","Aldo Sohm Wine Bar"
"Audrey Hurst","The Wayland"
"Audrey Manning",Barcade
"Audrey Manning","Connolly's Bar"
"Audrey Manning","The Wayland"
"August Arellano","Aldo Sohm Wine Bar"
"August Arellano","Blue Bar"
"August Arellano","The Wayland"
"August Ashley","Bemelmans Bar"
"August Ashley",Mona's
"August Ewing","Blind Tiger Ale House"
"August Ewing","Keats Bar"
"August Ewing","Tonic Bar"
"August Meza",Apotheke
"August Meza",Julius'
"August Meza",Nitecap
"Augusta Nguyen","Pouring Ribbons"
"Augusta Proctor",Bua
"Augusta Proctor",d.b.a.
"Augusta Proctor","Donovan's Pub"
"Augusta Proctor","The 13th Step"
"Augustine Conrad","Jimmy's corner"
"Augustine Conrad",Nowhere
"Augustine Conrad","The Ship"
"Augustine Mack","Death & Company"
"Augustus Spence","Bronx Alehouse"
"Aurelia Zavala","Raines Law Room"
"Aurelia Zavala","Spring Lounge"
"Aurora Lynch",Killmeyer's
"Aurora Lynch","Spring Lounge"
"Austin Oconnor","Bar Nine"
"Austin Oconnor","Orange Street"
"Autumn Hubbard","Copper & Oak"
"Autumn Rogers","Pegu Club"
"Autumn Rogers","The Wayland"
"Autumn Villanueva","Dear Irving"
"Autumn Villanueva","Lee's Tavern"
"Ava-Rose Christian","Death & Company"
"Ava-Rose Christian","Dive Bar"
"Ava-Rose Christian","Maison Premiere"
"Avery Conway","Clover Club"
"Avery Conway",PDT
"Avery Downs",Julius'
"Avery Downs",Leyenda
"Avery Downs","Orange Street"
"Avery Downs","The Up & Up"
"Avery Harper",Attaboy
"Avery Harper","Sugar East"
"Avery Harper","The Central Bar"
"Avis Mercer","Bemelmans Bar"
"Avis Mercer","Dear Irving"
"Avis Mercer","Townhouse of New York"
"Ayah Marsden","The Wayland"
"Ayah Marsden","Townhouse of New York"
"Ayra Kent","Bar Goto"
"Ayva Neale","Donovan's Pub"
"Ayva Neale","The Central Bar"
"Ayyub Wolfe","Bar Goto"
"Ayyub Wolfe","Little Branch"
"Azaan Rodgers","ABC Beer Co."
"Azaan Rodgers","Ear Inn"
"Azaan Rodgers","Grand Banks"
"Barbara Hebert","Copper & Oak"
"Barbara Hebert",Mace
"Barbara Stout","Bemelmans Bar"
"Barbra Murphy","The Central Bar"
"Barbra Murphy","The NoMad Bar"
"Barney Browning","Dear Irving"
"Barney Hebert","The Pool Lounge"
"Barney Hebert",Torst
"Barney Meyers",BlackTail
"Barrett Peck","Please Don't Tell"
"Barrett Peck","Pouring Ribbons"
"Barrett Peck","The Iron Horse Nyc"
"Barrett Peck","Zinc Bar"
"Barry Dean","Clover Club"
"Bart Meyers","Bar Sixtyfive"
"Bart Meyers","Gallow Green"
"Bart Meyers",Leyenda
"Bart Meyers","The Up & Up"
"Bart Sherman","The Long Island Bar"
"Barton Wiggins","Rainbow Room"
"Basil Stokes","The Ginger Man"
"Basil Stokes","The Summit Bar"
"Beatrice Gill","169 Bar"
"Beatrice Gill",PDT
"Beatrice Gill","Spring Lounge"
"Beatrice Gill","Townhouse of New York"
"Beatrice Mcmahon",Mona's
"Beatriz Carroll","Blue Bar"
"Beatriz Carroll",Mona's
"Beatriz Gonzalez","Connolly's Bar"
"Beatriz Goodwin",Attaboy
"Beatriz Goodwin","Clockwork Bar"
"Beatriz Goodwin","Jimmy's corner"
"Beatriz Phelps","Lee's Tavern"
"Beatriz Phelps","Pegu Club"
"Beatriz Thomas","McSorley's Old Ale House"
"Beatriz Welch","Broken Shaker"
"Beatriz Welch","The Counting Room"
"Beau Adkins","Please Don't Tell"
"Beau Daugherty","The Aviary NYC"
"Beau Daugherty","Zinc Bar"
"Beau Hatfield","Lee's Tavern"
"Beau Hatfield","Old Town Bar"
"Becky Espinoza","Lee's Tavern"
"Becky Mora","Bemelmans Bar"
"Becky Mora","Connolly's Bar"
"Becky Nichols","169 Bar"
"Becky Nichols",Barcade
"Becky Nichols",PDT
"Becky Stephenson","Bohemian Hall & Beer Garden"
"Becky Stephenson","Maison Premiere"
"Becky Stephenson","The Dead Rabbit"
"Belinda Washington",Apotheke
"Belinda Washington",Dante
"Belinda Washington","Employees Only"
"Bella Woodard",Donna
"Belle Davis","Zinc Bar"
"Benedict Berry","Aldo Sohm Wine Bar"
"Benedict Berry","Clover Club"
"Benedict Berry","Raines Law Room"
"Benedict Fitzpatrick","Spring Lounge"
"Benedict Peters","Gallow Green"
"Benedict Peters","Slowly Shirley"
"Benita Chandler","Rainbow Room"
"Benita Chandler","The Ginger Man"
"Benita Chandler","The NoMad Bar"
"Benita Chandler","Ty Bar"
"Benita Fitzpatrick",Apotheke
"Benito Kerr",Barcade
"Benjamin Burns","The Long Island Bar"
"Benjamin Galloway",Killmeyer's
"Benjamin Galloway","Old Town Bar"
"Bennett Khan","Death & Company"
"Bennett Khan","Until Tomorrow"
"Bennie Greer","Bronx Alehouse"
"Bennie Greer","Maison Premiere"
"Bennie Greer","the Campbell"
"Benny Horton",Barcade
"Benny Horton","Dear Irving"
"Benny Horton","Lee's Tavern"
"Benny Horton","Pegu Club"
"Benton Morris","Clockwork Bar"
"Benton Morris","Donovan's Pub"
"Benton Morris","McSorley's Old Ale House"
"Benton Morris",Nowhere
"Benton Tate","Aldo Sohm Wine Bar"
"Benton Tate","Dear Irving"
"Benton Tate","Spring Lounge"
"Bernadette Hardin",Boxer
"Bernadette Hardin","Keats Bar"
"Bernadette Hardin","Little Branch"
"Bernadette Kirby","Alewife Queens"
"Bernadette Nelson",7B
"Bernadine Torres","Beauty Bar"
"Bernadine Torres","McSorley's Old Ale House"
"Bernadine Torres",Nowhere
"Bernadine Torres","The Ginger Man"
"Bernard Cardenas",7B
"Bernard Cardenas","Blue Bar"
"Bernard Duke","Clover Club"
"Bernard Duke",Donna
"Bernard Duke",Killmeyer's
"Bernard Duke","Townhouse of New York"
"Bernard Massey",LENA
"Bernard Massey","Phoenix Bar"
"Bernardo Shaw","Sugar East"
"Bernice Weiss","Blue Bar"
"Bernice Weiss","Pegu Club"
"Bernie Bolton","Dutch Kills"
"Berry Nguyen",Boxer
"Berry Nguyen","Broken Shaker"
"Berry Nguyen","Copper & Oak"
"Berry Nguyen","Slowly Shirley"
"Berry Rush","Clover Club"
"Berry Rush",Mona's
"Bert Murray","Dear Irving"
"Bert Murray",Donna
"Bert Murray","Lee's Tavern"
"Berta Black","Blue Bar"
"Bertha Cain","169 Bar"
"Bertha Cain","Dear Irving"
"Bertha Cain","Spring Lounge"
"Bertha Cain","The Wayland"
"Bertha Gomez","Bohemian Hall & Beer Garden"
"Bertha Gomez","The Aviary NYC"
"Bertie Lutz",Rudy's
