billId,bar,drinker,date,time
1101,Nowhere,"Kraig Rivers",4/4/2018,21:58:00
1102,"Alewife Queens","Kraig Rivers",4/27/2017,24:58:00
1103,Attaboy,"Aaron Savage",10/18/2018,22:58:00
1104,"Bronx Alehouse","Adelaide Weston",3/28/2018,21:58:00
1105,"Blue Bar","Antione Cervantes",6/20/2017,24:58:00
1106,"The Ship","Kraig Rivers",6/16/2017,24:58:00
1107,Nowhere,"Kraig Rivers",10/22/2017,24:58:00
1108,Mayahuel,"Kraig Whitney",8/8/2017,23:58:00
1109,Donna,"Kraig Whitney",9/7/2018,24:58:00
111,"Ty Bar","Josie Allison",2/17/2017,21:58:00
1110,Mona's,"Kraig Whitney",1/1/2017,24:58:00
1111,PDT,"Kraig Whitney",9/14/2017,22:58:00
1112,"Old Town Bar","Kraig Whitney",11/15/2018,24:58:00
1113,"KGB Bar","Kraig Whitney",11/3/2017,22:58:00
1114,"Townhouse of New York","Kris Ellwood",10/24/2017,21:58:00
1115,"KGB Bar","Kris Ellwood",8/2/2017,23:58:00
1116,"Lee's Tavern","Antione Cervantes",6/6/2017,21:58:00
1117,"Dear Irving","Kris Ellwood",8/26/2017,24:58:00
1118,Donna,"Kris Ellwood",11/1/2017,23:58:00
1119,"Aldo Sohm Wine Bar","Kris Perkins",5/29/2017,23:58:00
112,"Holiday Cocktail Lounge","Josie Allison",9/1/2018,21:58:00
1121,"Aldo Sohm Wine Bar","Kris Zamora",1/11/2017,23:58:00
1122,Killmeyer's,"Kris Zamora",8/19/2017,24:58:00
1123,"Townhouse of New York","Kris Zamora",2/4/2017,24:58:00
1124,"KGB Bar","Kris Zamora",4/25/2017,23:58:00
1125,"The Ship","Krista Ingram",8/17/2017,21:58:00
1126,"Jimmy's corner","Krista Ingram",7/22/2018,24:58:00
1127,"Connolly's Bar","Antione Haas",10/14/2017,23:58:00
1128,"McSorley's Old Ale House","Krista Ingram",2/9/2018,21:58:00
1129,"Bar Nine","Krista Nicholson",2/3/2017,24:58:00
113,"Dear Irving","Josie Schultz",1/6/2017,21:58:00
1130,"Broken Shaker","Krista Nicholson",4/29/2018,22:58:00
1131,"Copper & Oak","Krista Nicholson",6/21/2017,22:58:00
1132,"Keats Bar","Krista Nicholson",11/28/2018,24:58:00
1133,"Rose Bar","Krista Nicholson",9/15/2017,23:58:00
1134,"Holiday Cocktail Lounge","Kristi Kemp",5/23/2017,21:58:00
1135,"The Summit Bar","Kristi Kemp",5/26/2017,22:58:00
1136,"Clockwork Bar","Kristi Kemp",8/25/2017,21:58:00
1137,Nowhere,"Kristi Kemp",2/26/2017,24:58:00
1138,PDT,"Antione Haas",6/18/2018,24:58:00
1139,"Dutch Kills","Kristie Ashley",8/1/2018,22:58:00
114,"Dear Irving","Adela Ashton",11/26/2017,21:58:00
1140,"The Iron Horse Nyc","Kristie Ashley",10/8/2018,22:58:00
1141,LENA,"Kristie Ashley",7/15/2017,23:58:00
1142,"ABC Beer Co.","Kristie Cummings",2/13/2017,23:58:00
1143,"The Pony Bar","Kristie Cummings",8/9/2018,24:58:00
1144,"Dive Bar","Kristie Cummings",1/3/2017,21:58:00
1145,"Zinc Bar","Kristie Cummings",1/28/2017,24:58:00
1146,Torst,"Kristie Cummings",4/23/2017,22:58:00
1147,Leyenda,"Kristie Martin",4/12/2018,23:58:00
1148,"Slowly Shirley","Kristie Martin",9/12/2017,21:58:00
1149,"Pegu Club","Antione Harrington",8/12/2018,21:58:00
115,"Broken Shaker","Anita Khan",9/8/2018,23:58:00
1150,"The Up & Up","Kristie Martin",9/9/2017,23:58:00
1151,"Keats Bar","Kristie Martin",4/5/2017,22:58:00
1152,Leyenda,"Kristie Martin",3/11/2017,23:58:00
1153,Mayahuel,"Kristin May",8/9/2017,22:58:00
1154,7B,"Kristin May",2/4/2017,23:58:00
1155,"KGB Bar","Kristin May",11/23/2018,22:58:00
1156,"Dear Irving","Kristin May",6/17/2017,24:58:00
1157,Barcade,"Kristin May",3/18/2018,24:58:00
1158,"McSorley's Old Ale House","Kristine Bowers",1/4/2018,21:58:00
116,PDT,"Josie Schultz",9/14/2017,23:58:00
1160,"Clover Club","Antione Harrington",6/21/2017,21:58:00
1161,"Holiday Cocktail Lounge","Kristine Bowers",4/18/2017,22:58:00
1162,"Beauty Bar","Kristine Gardner",7/13/2017,22:58:00
1163,Nowhere,"Kristine Gardner",3/26/2018,23:58:00
1164,"Donovan's Pub","Kristine Gardner",3/10/2018,23:58:00
1165,"The NoMad Bar","Kristine Gardner",5/9/2017,21:58:00
1166,"The Long Island Bar","Kristine Gardner",1/26/2017,21:58:00
1167,Mona's,"Kristine Hawkins",11/26/2018,23:58:00
1169,7B,"Kristine Hawkins",2/21/2018,22:58:00
1170,PDT,"Kristine Hawkins",3/22/2017,22:58:00
1171,"Raines Law Room","Antione Harrington",9/16/2017,24:58:00
1172,"Lee's Tavern","Kristofer Holden",6/23/2018,24:58:00
1173,"KGB Bar","Kristofer Holden",2/14/2018,21:58:00
1175,"Dear Irving","Kristofer Mendoza",1/10/2017,21:58:00
1176,"Bemelmans Bar","Kristofer Mendoza",9/24/2018,21:58:00
1177,"Spring Lounge","Kristofer Mendoza",1/28/2017,24:58:00
1178,"Aldo Sohm Wine Bar","Kristofer Stein",8/28/2017,21:58:00
1179,"Spring Lounge","Kristofer Stein",8/20/2018,21:58:00
118,"Slowly Shirley","Josie Weber",10/12/2017,21:58:00
1180,Mona's,"Kristofer Stein",6/3/2018,24:58:00
1181,"Aldo Sohm Wine Bar","Kristofer Stein",2/15/2017,22:58:00
1182,PDT,"Antione Harrington",7/30/2017,24:58:00
1183,Mayahuel,"Kristofer Stein",3/1/2018,21:58:00
1184,"Maison Premiere","Kristopher Frye",2/22/2018,22:58:00
1185,"Until Tomorrow","Kristopher Frye",6/24/2018,24:58:00
1186,"The Aviary NYC","Kristopher Frye",9/14/2017,23:58:00
1187,"Zinc Bar","Kristopher Frye",10/27/2018,21:58:00
1188,"The Aviary NYC","Kristopher Frye",2/5/2018,22:58:00
1189,"The Pool Lounge","Kristopher Frye",6/11/2018,24:58:00
119,Apotheke,"Josie Weber",9/7/2017,23:58:00
1190,"Clover Club","Kristopher Ibarra",7/18/2018,21:58:00
1192,7B,"Kristopher Ibarra",7/17/2018,22:58:00
1193,7B,"Antione Holder",7/16/2017,21:58:00
1194,PDT,"Kristopher Ibarra",8/2/2017,24:58:00
1195,"Raines Law Room","Kristopher Ibarra",1/11/2018,21:58:00
1196,"The Up & Up","Kristopher Oconnor",4/17/2017,23:58:00
1197,Apotheke,"Kristopher Oconnor",9/24/2017,22:58:00
1198,"The Counting Room","Kristopher Oconnor",10/19/2018,23:58:00
1199,"Orange Street","Kristopher Oconnor",10/26/2017,23:58:00
12,"Broken Shaker","Jose Ellison",1/26/2018,24:58:00
120,"Bar Sixtyfive","Josie Weber",9/25/2018,24:58:00
1200,"The Up & Up","Kristopher Oconnor",7/7/2017,24:58:00
1201,"Gallow Green","Kristy Baird",6/18/2018,22:58:00
1202,"Gallow Green","Kristy Baird",4/20/2018,24:58:00
1203,Dante,"Kristy Baird",7/29/2017,21:58:00
1204,"Townhouse of New York","Antione Holder",10/15/2017,21:58:00
1205,"Employees Only","Kristy Baird",8/8/2018,23:58:00
1206,"Broken Shaker","Kristy Baird",4/23/2018,24:58:00
1207,"Amor y Amargo","Kristy Garza",9/19/2018,21:58:00
1208,"Bohemian Hall & Beer Garden","Kristy Garza",6/4/2017,23:58:00
1209,"Please Don't Tell","Kristy Garza",4/21/2017,23:58:00
121,"Bar Nine","Josie Weber",1/20/2018,23:58:00
1210,"Jimmy's corner","Kristy Morton",6/2/2018,23:58:00
1211,Attaboy,"Kristy Morton",1/25/2017,24:58:00
1212,"Aldo Sohm Wine Bar","Kristy Whitehead",1/27/2018,22:58:00
1214,Barcade,"Kristy Whitehead",11/8/2017,22:58:00
1215,"Dutch Kills","Adelaide Weston",2/20/2017,22:58:00
1216,7B,"Antione Holder",7/12/2018,24:58:00
1217,PDT,"Kristy Whitehead",7/18/2018,22:58:00
1218,Killmeyer's,"Kristy Whitehead",6/5/2018,22:58:00
122,Boxer,"Josie Weber",4/27/2018,22:58:00
1220,Subject,"Krystal Brooks",7/3/2018,21:58:00
1221,"Bar Nine","Krystal Brooks",2/3/2017,21:58:00
1222,"Tonic Bar","Krystal Brooks",8/3/2018,21:58:00
1223,"Bar Sixtyfive","Krystal Brooks",3/23/2018,22:58:00
1224,"Bar Sixtyfive","Krystal Brooks",6/25/2018,21:58:00
1225,"Copper & Oak","Krystal Gordon",2/27/2018,23:58:00
1226,Subject,"Krystal Gordon",5/30/2017,21:58:00
1227,Mona's,"Antione Holder",7/20/2018,22:58:00
1228,"Employees Only","Krystal Gordon",2/5/2018,22:58:00
1229,"The Summit Bar","Krzysztof Byers",9/11/2018,22:58:00
123,Mona's,"Jospeh Montoya",8/27/2017,21:58:00
1230,"The Summit Bar","Krzysztof Byers",1/26/2017,23:58:00
1231,"McSorley's Old Ale House","Krzysztof Byers",7/23/2018,21:58:00
1232,Dante,"Krzysztof Miles",7/9/2018,24:58:00
1233,"Orange Street","Krzysztof Miles",7/12/2018,22:58:00
1234,"Bar Goto","Krzysztof Miles",11/16/2017,21:58:00
1235,Mona's,"Kurtis Bryant",8/12/2017,23:58:00
1236,"Spring Lounge","Kurtis Bryant",1/15/2018,22:58:00
1237,"KGB Bar","Kurtis Bryant",2/22/2017,24:58:00
1238,Barcade,"Antione Holder",9/17/2018,23:58:00
1239,"KGB Bar","Kurtis Bryant",11/13/2018,24:58:00
124,Mayahuel,"Jospeh Montoya",7/2/2018,21:58:00
1240,"Blue Bar","Kurtis Harding",9/25/2017,21:58:00
1241,Killmeyer's,"Kurtis Harding",8/28/2018,23:58:00
1242,"Dear Irving","Kyla Naylor",9/24/2018,21:58:00
1243,"Blue Bar","Kyla Naylor",4/18/2017,23:58:00
1244,Barcade,"Kyla Naylor",11/13/2018,23:58:00
1245,"Dear Irving","Kyla Naylor",4/4/2018,22:58:00
1246,"Pegu Club","Kyle Cantu",7/29/2017,22:58:00
1247,"Spring Lounge","Kyle Cantu",8/24/2017,24:58:00
1248,PDT,"Kyle Cantu",7/8/2018,23:58:00
1249,"Dear Irving","Antione Holder",2/13/2017,22:58:00
125,"KGB Bar","Jospeh Montoya",5/22/2017,22:58:00
1250,"Townhouse of New York","Kyle Cantu",11/23/2017,22:58:00
1251,Mona's,"Kyle Salazar",11/22/2017,22:58:00
1252,"Dear Irving","Kyle Salazar",9/25/2017,23:58:00
1253,"Raines Law Room","Kyle Salazar",1/9/2018,21:58:00
1254,"Dear Irving","Kyle Salazar",4/28/2018,24:58:00
1256,PDT,"Lacey Burton",7/30/2017,23:58:00
1257,"Clover Club","Lacey Gilmour",11/13/2018,21:58:00
1258,"Old Town Bar","Lacey Gilmour",5/13/2018,23:58:00
1259,Killmeyer's,"Lacey Gilmour",1/15/2018,21:58:00
126,Boxer,"Anita Khan",6/13/2017,24:58:00
1260,"The 13th Step","Antoine Marks",11/1/2017,21:58:00
1261,"Connolly's Bar","Lacey Gilmour",9/24/2017,22:58:00
1262,"The Up & Up","Lacey Vasquez",9/6/2017,24:58:00
1263,"The Honeywell","Lacey Vasquez",6/2/2018,24:58:00
1264,"Keats Bar","Lacey Vasquez",11/23/2017,21:58:00
1265,Subject,"Lacey Vasquez",6/4/2017,21:58:00
1266,Boxer,"Lacey Vasquez",4/20/2017,21:58:00
1267,Nitecap,"Lacey Vasquez",7/27/2017,24:58:00
1268,d.b.a.,"Lacey-May Rivas",9/13/2018,21:58:00
1269,"The Long Island Bar","Lacey-May Rivas",8/17/2017,23:58:00
127,"KGB Bar","Jospeh Montoya",2/4/2018,21:58:00
1270,"Rainbow Room","Lacey-May Rivas",1/29/2017,21:58:00
1271,"The 13th Step","Antoine Marks",11/7/2017,24:58:00
1272,Attaboy,"Lacey-May Rivas",1/22/2018,24:58:00
1273,"Ty Bar","Lacey-May Rivas",6/28/2017,23:58:00
1274,"The Ginger Man","Lacey-May Rivas",5/30/2017,21:58:00
1275,Apotheke,"Lacy Bauer",9/5/2018,22:58:00
1276,Nitecap,"Lacy Bauer",8/1/2017,21:58:00
1277,Leyenda,"Lacy Bauer",5/28/2018,24:58:00
1278,"Broken Shaker","Lacy Bauer",6/2/2017,23:58:00
1279,"Lee's Tavern","Lacy Lozano",3/25/2018,22:58:00
128,BlackTail,"Jospeh Rivers",3/5/2018,23:58:00
1280,"Raines Law Room","Lacy Lozano",5/2/2018,22:58:00
1282,"The Ginger Man","Antoine Marks",10/8/2017,22:58:00
1283,"Pegu Club","Lacy Lozano",4/10/2017,21:58:00
1284,"The Wayland","Lacy Lozano",8/14/2018,24:58:00
1285,"Connolly's Bar","Lacy Lozano",2/4/2018,21:58:00
1286,"Blue Bar","Lacy Prince",5/4/2018,21:58:00
1287,Donna,"Lacy Prince",3/23/2017,21:58:00
1288,"Aldo Sohm Wine Bar","Ladonna Flowers",6/27/2018,23:58:00
1289,"KGB Bar","Ladonna Flowers",11/7/2018,23:58:00
129,"Dutch Kills","Jospeh Rivers",5/29/2017,21:58:00
1290,"Bemelmans Bar","Ladonna Flowers",3/8/2017,21:58:00
1291,Barcade,"Ladonna Flowers",10/30/2017,23:58:00
1293,Nowhere,"Antoine Marks",8/23/2018,24:58:00
1294,Barcade,"Laith Benton",9/9/2017,23:58:00
1295,Mayahuel,"Laith Benton",2/20/2018,21:58:00
1296,"Lee's Tavern","Laith Benton",3/22/2017,24:58:00
1297,Boxer,"Lakeisha Hammond",2/25/2017,21:58:00
1298,"Broken Shaker","Lakeisha Hammond",3/6/2017,23:58:00
1299,"Orange Street","Lakeisha Hammond",11/4/2017,22:58:00
13,"Bar Sixtyfive","Jose Ellison",6/23/2018,22:58:00
130,"King Cole Bar","Jospeh Rivers",3/26/2018,21:58:00
1300,Leyenda,"Lakeisha Hammond",1/16/2018,22:58:00
1301,"Little Branch","Lakeisha Hammond",6/11/2018,23:58:00
1302,"King Cole Bar","Lakeisha Mcmillan",5/4/2018,23:58:00
1303,"Dutch Kills","Lakeisha Mcmillan",8/11/2017,23:58:00
1304,d.b.a.,"Antoine Marks",5/13/2017,21:58:00
1305,"Angel's Share","Lakeisha Mcmillan",11/20/2017,23:58:00
1306,"Dive Bar","Lakeisha Mcmillan",6/8/2018,23:58:00
1307,"Phoenix Bar","Lakeisha Mcmillan",5/5/2018,22:58:00
1308,"the Campbell","Lakeisha Mcmillan",2/2/2018,24:58:00
1309,Mona's,"Lakeisha Sanchez",8/4/2018,24:58:00
131,Killmeyer's,"Jospeh Valentine",1/6/2017,21:58:00
1310,"Aldo Sohm Wine Bar","Lakeisha Sanchez",2/25/2017,22:58:00
1311,"Bemelmans Bar","Lakeisha Sanchez",8/8/2017,23:58:00
1312,"Old Town Bar","Lakeisha Sanchez",9/25/2017,22:58:00
1313,"Pegu Club","Lamar Burke",9/29/2017,21:58:00
1314,"Dear Irving","Lamar Burke",1/14/2017,22:58:00
1316,"Connolly's Bar","Lamar Burke",6/10/2017,21:58:00
1317,"The Long Island Bar","Lamar Cortez",4/5/2018,24:58:00
1318,"The Long Island Bar","Lamar Cortez",8/7/2017,23:58:00
1319,PDT,"Lamont Chaney",11/16/2017,22:58:00
1320,"Old Town Bar","Lamont Chaney",4/16/2017,24:58:00
1321,Donna,"Lamont Chaney",9/23/2017,22:58:00
1322,Killmeyer's,"Lamont Chaney",10/20/2017,22:58:00
1323,"KGB Bar","Lamont Stevens",4/24/2018,22:58:00
1324,"Dear Irving","Lamont Stevens",2/7/2018,21:58:00
1325,"Townhouse of New York","Lamont Stevens",10/17/2018,23:58:00
1326,"Bohemian Hall & Beer Garden","Adelaide Weston",8/1/2018,23:58:00
1327,"Raines Law Room","Antoinette Dyer",4/18/2017,21:58:00
1328,Killmeyer's,"Lana Novak",7/26/2018,22:58:00
1329,7B,"Lana Novak",3/5/2017,23:58:00
133,"The Central Bar","Josue Brady",1/14/2017,23:58:00
1330,7B,"Lana Novak",2/25/2017,24:58:00
1331,"Pegu Club","Lana Novak",9/9/2018,21:58:00
1332,Barcade,"Lana Novak",11/23/2018,23:58:00
1333,"KGB Bar","Lana Novak",3/4/2018,22:58:00
1334,"KGB Bar","Lana Prince",9/14/2017,24:58:00
1335,"Lee's Tavern","Lana Prince",11/24/2017,23:58:00
1336,"Jimmy's corner","Lance Hammond",7/16/2017,23:58:00
1338,"Bar Nine","Antoinette Levine",1/3/2017,24:58:00
1339,Bua,"Lance Rich",2/8/2017,21:58:00
134,"Rainbow Room","Josue Brady",11/22/2018,23:58:00
1340,"The NoMad Bar","Lance Rich",2/25/2017,24:58:00
1341,Nitecap,"Landon Abbott",10/29/2018,24:58:00
1342,"Orange Street","Landon Abbott",6/12/2018,23:58:00
1343,"Keats Bar","Landon Abbott",10/1/2018,22:58:00
1344,"Keats Bar","Landon Abbott",7/10/2017,22:58:00
1345,"Dive Bar","Landon Gould",1/16/2018,21:58:00
1346,BlackTail,"Landon Gould",3/22/2017,24:58:00
1347,"The Honeywell","Landon Hahn",2/2/2017,23:58:00
1348,Nitecap,"Antoinette Levine",7/23/2018,24:58:00
1349,Leyenda,"Landon Hahn",6/28/2017,22:58:00
135,Nowhere,"Josue Brady",5/30/2018,24:58:00
1350,"Aldo Sohm Wine Bar","Lane Clements",11/27/2017,23:58:00
1351,"Raines Law Room","Lane Clements",8/28/2018,22:58:00
1352,"Tonic Bar","Lane Liu",4/25/2017,22:58:00
1353,"Blind Tiger Ale House","Lane Liu",8/10/2017,22:58:00
1354,"The Up & Up","Lane Liu",5/12/2017,24:58:00
1355,Subject,"Lane Liu",4/16/2018,22:58:00
1356,"Slowly Shirley","Lane Liu",5/2/2018,22:58:00
1357,"Blind Tiger Ale House","Lane Liu",4/14/2018,24:58:00
1358,"Pegu Club","Lane Nash",5/20/2018,22:58:00
1359,Subject,"Antoinette Levine",11/2/2017,24:58:00
